Centroid,Closest_Post_1,Closest_Post_2,Closest_Post_3,Closest_Post_4,Closest_Post_5,Closest_Post_6,Closest_Post_7,Closest_Post_8,Closest_Post_9,Closest_Post_10
0,7709339138,7680036295,7721722483,7641307370,7725804609,7711392808,7708951386,7680036295,7655637274,7641307370
1,7681676944,7663584325,7659726328,7658072338,7683506310,7723168105,7671907373,7679929344,7712445141,7674142460
2,7649122741,7665877587,7637325502,7709566614,7720357422,7679881717,7674911141,7660340584,7674911141,7635102092
3,7636760927,7709000239,7701178745,7720312362,7721131962,7655372957,7649720920,7656715154,7717052226,7717959707
4,7716645357,7630829974,7640567879,7707782997,7707782997,7685621123,7707782997,7674043534,7679151038,7716752650
5,7677032190,7627252397,7659771914,7663235084,7671084924,7637611528,7677214511,7672118680,7675616071,7723076063
6,7663750905,7664200277,7680004462,7722929998,7634984487,7658076362,7725194812,7680004462,7680483022,7664705453
7,7719479582,7685069731,7707510779,7653569391,7671772355,7686599365,7716685954,7658998874,7706254365,7685069731
8,7680145150,7649740625,7664536230,7666094396,7676078419,7678387078,7680145150,7710560090,7701911224,7721682277
9,7647216202,7658190334,7658718957,7680348309,7633369235,7682774754,7646927072,7723975244,7670036889,7663257728
10,7637622286,7674859318,7719369665,7711137217,7665760471,7671725295,7660406947,7664763412,7670711096,7706722860
11,7680402675,7636347132,7712911803,7673934164,7652545950,7664420338,7683350571,7685447477,7683753206,7723846006
12,7684943008,7673260191,7712331918,7679755057,7657473022,7709930340,7717552041,7664420338,7683979081,7676189881
13,7723645013,7629969696,7713514866,7685710296,7660105440,7709585286,7718944421,7646232143,7636982496,7673192351
14,7687415230,7682569243,7675681769,7708793596,7637466057,7631308867,7721916697,7654869042,7710689901,7702987836
15,7655097695,7641352384,7647133766,7687697990,7647133766,7654743516,7674337471,7719513819,7634565442,7682743014
16,7720453569,7701223911,7635102092,7654887653,7668270829,7679025888,7645474424,7724990194,7630496613,7639958020
17,7685464800,7683732049,7721335189,7711442594,7723875795,7724975933,7718498541,7648569712,7681535989,7666195664
18,7674575943,7712917390,7713983317,7637666899,7700604290,7720617954,7666793195,7640397758,7716930340,7684954941
19,7721782056,7670158995,7711066256,7649353342,7655097695,7641352384,7659939278,7709177958,7661192334,7678346004
